Club,Year,GamesPlayed,GamesStarted,ShotsFaced,SavesMade,GoalsAgainst,Wins,Losses,Ties,ShutOuts,WinsPercentage,SavePercentage
ALG,2014,4,4,13,7,4,1,1,2,1,25.0,53.8
ALG,2015,5,5,20,10,9,0,3,2,1,0.0,50.0
Atlanta United,2005,24,23,156,104,46,3,16,4,2,12.5,66.7
Atlanta United,2006,13,13,70,49,19,3,6,4,5,23.1,70.0
Atlanta United,2007,27,27,119,87,25,14,6,7,13,51.9,73.1
Atlanta United,2008,15,15,71,48,20,6,5,4,4,40.0,67.6
Atlanta United,2013,0,0,0,0,0,0,0,0,0,0.0,0.0
Atlanta United,2014,0,0,0,0,0,0,0,0,0,0.0,0.0
Atlanta United,2015,1,1,8,6,2,0,1,0,0,0.0,75.0
Atlanta United,2016,7,7,28,17,11,2,2,3,2,28.6,60.7
Atlanta United,2017,35,34,138,97,40,15,9,10,12,137.3,221.7
Atlanta United,2018,35,34,132,87,44,21,7,6,8,160.6,182.5
Atlanta United,2019,34,34,135,91,43,18,12,4,14,52.9,67.4
Atlanta United,2020,23,23,91,59,30,6,13,4,6,26.1,64.8
BRA,2014,7,7,27,18,9,3,4,0,2,42.9,66.7
CAN,2013,0,0,0,0,0,0,0,0,0,0.0,0.0
CF Montreal,2012,66,65,299,192,99,20,30,13,12,62.2,186.1
CF Montreal,2013,34,34,165,115,49,14,13,7,8,42.4,154.7
CF Montreal,2014,34,34,181,118,58,6,18,10,8,34.4,130.5
CF Montreal,2015,34,34,153,105,44,15,13,6,9,48.4,124.2
CF Montreal,2016,37,36,175,114,56,11,12,13,6,33.3,178.5
CF Montreal,2017,46,46,225,138,81,15,22,9,7,62.2,122.5
CF Montreal,2018,34,34,184,132,53,14,16,4,10,41.2,71.7
CF Montreal,2019,34,34,151,90,60,12,17,5,8,84.4,144.0
CF Montreal,2020,23,23,134,90,43,8,13,2,3,68.3,137.2
Chicago FIre FC,1996,191,184,1021,738,249,99,63,23,45,594.7,999.3
Chicago FIre FC,2004,30,30,179,132,44,8,13,9,7,75.0,119.69999999999999
Chicago FIre FC,2005,35,32,152,99,50,15,13,4,7,117.7,195.4
Chicago FIre FC,2006,32,32,175,133,41,13,11,8,8,95.8,155.4
Chicago FIre FC,2007,30,30,157,117,36,10,10,10,11,66.6,149.5
Chicago FIre FC,2008,30,30,156,122,33,13,10,7,10,43.3,78.2
