,Player,Club,Position,GamesPlayed,GamesStarted,MinutesPlayed,GoalsScored,Assists,Shots,ShotsOnGoal,GameWinningGoal,HomeGoals,RoadGoals,GoalsPer90Minutes,ShotConversion,GameWinningAssists,HomeAssists,RoadAssists,AssistsPer90Min,FoulsCommitted,FoulsSufferred,Offsides,YellowCards,RedCards,Year
3814,Diego Rossi,Los Angeles FC,F,19,19,1698,14,4,71,34,1,11,3,0.74,19.7,2,3,1,0.21,6,20,12,0,0,2020
3815,Gyasi Zardes,Columbus Crew,F,21,20,1717,12,4,41,19,2,8,4,0.63,29.3,1,2,2,0.21,19,27,17,1,0,2020
3816,Raul Ruidiaz ,Seattle Sounders FC,F,17,17,1427,12,4,55,23,4,8,4,0.76,21.8,0,2,2,0.25,11,13,13,2,0,2020
3817,Robert Beric,Chicago FIre FC,F,23,22,1931,12,1,62,29,1,7,5,0.56,19.4,0,1,0,0.05,38,58,28,1,0,2020
3818,Jordan Morris,Seattle Sounders FC,F,22,18,1724,10,8,39,18,3,8,2,0.52,25.6,0,5,3,0.42,6,12,13,1,0,2020
3819,Chris Mueller,Orlando City SC,F,22,17,1477,10,7,36,19,3,8,2,0.61,27.8,4,5,2,0.43,12,33,2,0,0,2020
3820,Cristian Pavon,LA Galaxy,M,22,22,1980,10,7,63,26,2,5,5,0.45,15.9,2,5,2,0.32,20,27,5,1,0,2020
3821,Alejandro Pozuelo,Toronto FC,M,23,23,2015,9,10,52,25,5,4,5,0.4,17.3,2,5,5,0.45,26,28,1,3,0,2020
3822,Kevin Molino,Minnesota United FC,M,18,15,1264,9,4,38,17,3,5,4,0.64,23.7,2,3,1,0.28,16,48,4,0,0,2020
3823,Ayo Akinola,Toronto FC,F,15,11,1063,9,0,36,18,2,4,5,0.76,25.0,0,0,0,0.0,28,7,13,1,0,2020
3824,Diego Valeri,Portland Timbers,M,22,18,1628,8,7,39,16,3,5,3,0.44,20.5,0,1,6,0.39,10,19,2,2,0,2020
3825,Bradley Wright-Phillips,Los Angeles FC,F,18,14,1081,8,6,33,15,3,7,1,0.67,24.2,1,4,2,0.5,12,16,8,0,0,2020
3826,Romell Quioto,CF Montreal,M,19,17,1483,8,6,51,20,2,4,4,0.49,15.7,2,3,3,0.36,13,23,16,2,1,2020
3827,Kacper Przybylko,Philadelphia Union,F,23,23,1974,8,6,54,25,4,5,3,0.36,14.8,1,6,0,0.27,14,23,17,1,0,2020
3828,Daryl Dike,Orlando City SC,F,17,15,1224,8,4,30,12,2,5,3,0.59,26.7,1,2,2,0.29,25,30,6,0,0,2020
3829,Jeremy Ebobisse,Portland Timbers,F,18,11,1062,8,2,32,14,1,2,6,0.68,25.0,1,2,0,0.17,9,10,3,0,0,2020
3830,Sergio Santos,Philadelphia Union,F,21,17,1218,8,2,34,12,3,6,2,0.59,23.5,0,0,2,0.15,34,20,9,4,0,2020
3831,Teal Bunbury,New England Revolution,F,22,19,1466,8,1,43,12,3,2,6,0.49,18.6,0,1,0,0.06,22,23,6,3,0,2020
3832,Damir Kreilach,Real Salt Lake,M,21,20,1770,8,1,48,20,2,5,3,0.41,16.7,0,0,1,0.05,30,33,5,4,0,2020
3833,Nicolás Lodeiro,Seattle Sounders FC,M,20,20,1782,7,10,40,18,2,4,3,0.35,17.5,6,7,3,0.51,14,54,3,2,0,2020
3834,Darwin Quintero,Houston Dynamo FC,F,22,20,1689,7,10,59,24,2,4,3,0.37,11.9,1,3,7,0.53,11,26,9,5,0,2020
3835,Robin Lod,Minnesota United FC,M,20,18,1585,7,5,40,13,0,4,3,0.4,17.5,1,5,0,0.28,21,8,2,3,0,2020
3836,Felipe Mora,Portland Timbers,F,19,13,1204,7,2,32,17,3,3,4,0.52,21.9,0,1,1,0.15,7,31,6,0,0,2020
3837,Jaroslaw Niezgoda,Portland Timbers,F,17,7,602,7,1,12,9,1,5,2,1.05,58.3,0,1,0,0.15,2,3,0,0,0,2020
3838,Chris Wondolowski,San Jose Earthquakes,F,22,13,1275,7,1,31,19,1,4,3,0.49,22.6,0,1,0,0.07,11,14,10,1,0,2020
3839,Franco Jara,FC Dallas,F,19,16,1388,7,0,37,20,3,4,3,0.45,18.9,0,0,0,0.0,27,27,11,4,0,2020
3840,Pedro Santos,Columbus Crew,M,22,22,1841,6,8,44,16,4,4,2,0.29,13.6,2,5,3,0.39,30,47,1,4,0,2020
3841,Alan Pulido,Sporting Kansas City,F,12,11,962,6,5,36,18,3,3,3,0.56,16.7,2,2,3,0.47,8,30,6,3,0,2020
3842,Nani,Orlando City SC,M,19,16,1423,6,5,51,16,2,3,3,0.38,11.8,1,3,2,0.32,14,27,3,3,1,2020
3843,Lucas Zelarayan,Columbus Crew,M,16,12,1039,6,4,23,10,3,5,1,0.52,26.1,1,2,2,0.35,16,19,0,2,0,2020
3844,Gadi Kinda,Sporting Kansas City,M,18,16,1394,6,4,35,11,1,3,3,0.39,17.1,2,2,2,0.26,30,25,2,5,1,2020
3845,Sebastian Lletget,LA Galaxy,M,21,19,1692,6,4,37,18,1,4,2,0.32,16.2,0,2,2,0.21,20,22,4,1,0,2020
3846,Johnny Russell,Sporting Kansas City,F,21,17,1529,6,4,50,17,2,5,1,0.35,12.0,1,3,1,0.24,14,27,0,3,0,2020
3847,Valentin Castellanos,New York City,F,22,14,1341,6,3,75,34,1,4,2,0.4,8.0,0,2,1,0.2,55,26,14,7,0,2020
3848,Adam Buksa,New England Revolution,F,23,16,1499,6,2,59,24,1,2,4,0.36,10.2,0,0,2,0.12,31,20,4,4,0,2020
3849,Anthony Fontana,Philadelphia Union,M,17,5,509,6,0,16,13,3,3,3,1.06,37.5,0,0,0,0.0,16,12,0,4,0,2020
3850,Lucas Cavallini,Vancouver Whitecaps FC,F,18,16,1457,6,0,44,18,4,5,1,0.37,13.6,0,0,0,0.0,31,42,7,7,1,2020
3851,Lewis Morgan,Inter Miami CF,M,23,23,1952,5,8,56,18,2,5,0,0.23,8.9,3,4,4,0.37,9,27,3,1,0,2020
3852,Cole Bassett,Colorado Rapids,M,14,12,982,5,5,22,9,2,3,2,0.46,22.7,1,1,4,0.46,10,10,2,1,0,2020
3853,Fredy Montero,Vancouver Whitecaps FC,F,16,11,1059,5,5,31,13,0,4,1,0.42,16.1,3,3,2,0.42,23,31,1,1,0,2020
3854,Memo Rodriguez,Houston Dynamo FC,M,21,20,1604,5,3,52,16,0,1,4,0.28,9.6,1,1,2,0.17,25,29,5,5,0,2020
3855,Gustavo Bou,New England Revolution,F,18,14,1329,5,3,64,22,3,2,3,0.34,7.8,0,0,3,0.2,8,16,23,0,0,2020
3856,Benji Michel,Orlando City SC,F,21,8,840,5,2,16,10,2,3,2,0.54,31.3,1,1,1,0.21,8,17,4,2,0,2020
3857,Maximiliano Urruti,CF Montreal,F,15,10,895,5,2,22,11,2,3,2,0.5,22.7,0,1,1,0.2,9,10,7,1,0,2020
3858,Jesus Medina,New York City,M,22,18,1495,5,2,32,16,1,2,3,0.3,15.6,1,1,1,0.12,22,16,7,3,0,2020
3859,Danny Musovski,Los Angeles FC,F,15,6,629,5,1,20,15,1,5,0,0.72,25.0,1,1,0,0.14,10,4,5,0,0,2020
3860,Brian White,New York City Red Bulls,F,18,10,872,5,1,26,11,2,2,3,0.52,19.2,0,0,1,0.1,17,5,11,1,0,2020
3861,Andres Rios,San Jose Earthquakes,F,22,20,1711,5,1,28,8,1,3,2,0.26,17.9,1,0,1,0.05,41,48,10,5,0,2020
