Player,Club,POS,GP,GS,SHTS,SV,GA,W,L,T,ShO,W%,Sv%,Year,Season
Mark Dodd,DAL,GK,31,31,235,160,45,17,14,0,6,54.8,68.1,1996,reg
Tony Meola,MET,GK,29,29,188,142,38,14,15,0,9,48.3,75.5,1996,reg
Mark Dougherty,TB ,GK,28,28,186,123,47,17,11,0,3,60.7,66.1,1996,reg
Jorge Campos,LA ,GK,24,24,133,100,27,13,8,0,4,54.2,75.2,1996,reg
Garth Lagerwey,KC ,GK,23,22,133,83,38,12,10,0,3,52.2,62.4,1996,reg
Chris Woods,COL,GK,23,23,149,96,43,8,15,0,2,34.8,64.4,1996,reg
Tom Liner,SJ ,GK,20,20,118,75,33,7,12,0,4,35,63.6,1996,reg
Aidan Heaney,NE ,GK,19,18,130,93,29,8,9,0,4,42.1,71.5,1996,reg
Jeff Causey,DC ,GK,19,18,115,70,35,9,10,0,0,47.4,60.9,1996,reg
David Kramer,LA ,GK,15,8,83,52,22,6,5,0,1,40,62.7,1996,reg
Mark Simpson,DC ,GK,15,14,69,46,21,7,6,0,3,46.7,66.7,1996,reg
Jim St. Andre,NE ,GK,15,14,91,57,27,7,8,0,2,46.7,62.6,1996,reg
Dave Salzwedel,SJ ,GK,14,12,80,53,17,8,5,0,4,57.1,66.3,1996,reg
Bo Oshoniyi,CLB,GK,13,13,101,64,33,3,10,0,2,23.1,63.4,1996,reg
Pat Harrington,CLB,GK,12,11,57,23,21,5,5,0,1,41.7,40.4,1996,reg
Dusty Hudock,COL,GK,9,9,55,34,16,3,6,0,2,33.3,61.8,1996,reg
Brad Friedel,CLB,GK,9,9,60,46,7,8,1,0,4,88.9,76.7,1996,reg
David Winner,CLB,GK,7,6,39,22,16,3,4,0,0,42.9,56.4,1996,reg
Mike Ammann,KC ,GK,4,3,21,12,8,1,2,0,0,25,57.1,1996,reg
Scott Budnick,TB ,GK,4,4,23,18,4,3,1,0,1,75,78.3,1996,reg
Zach Thornton,MET,GK,3,3,17,8,9,1,2,0,0,33.3,47.1,1996,reg
Jeff Cassar,DAL,GK,2,1,9,6,3,0,1,0,0,0,66.7,1996,reg
Mile Miovac,DC ,GK,0,0,0,0,0,0,0,0,0,0,0,1996,reg
Mark Dodd,DAL,GK,31,31,235,160,45,17,14,0,6,54.8,68.1,1996,reg
Tony Meola,MET,GK,29,29,188,142,38,14,15,0,9,48.3,75.5,1996,reg
Mark Dougherty,TB ,GK,28,28,186,123,47,17,11,0,3,60.7,66.1,1996,reg
Jorge Campos,LA ,GK,24,24,133,100,27,13,8,0,4,54.2,75.2,1996,reg
Garth Lagerwey,KC ,GK,23,22,133,83,38,12,10,0,3,52.2,62.4,1996,reg
Chris Woods,COL,GK,23,23,149,96,43,8,15,0,2,34.8,64.4,1996,reg
Tom Liner,SJ ,GK,20,20,118,75,33,7,12,0,4,35,63.6,1996,reg
Aidan Heaney,NE ,GK,19,18,130,93,29,8,9,0,4,42.1,71.5,1996,reg
Jeff Causey,DC ,GK,19,18,115,70,35,9,10,0,0,47.4,60.9,1996,reg
David Kramer,LA ,GK,15,8,83,52,22,6,5,0,1,40,62.7,1996,reg
Mark Simpson,DC ,GK,15,14,69,46,21,7,6,0,3,46.7,66.7,1996,reg
Jim St. Andre,NE ,GK,15,14,91,57,27,7,8,0,2,46.7,62.6,1996,reg
Dave Salzwedel,SJ ,GK,14,12,80,53,17,8,5,0,4,57.1,66.3,1996,reg
Bo Oshoniyi,CLB,GK,13,13,101,64,33,3,10,0,2,23.1,63.4,1996,reg
Pat Harrington,CLB,GK,12,11,57,23,21,5,5,0,1,41.7,40.4,1996,reg
Dusty Hudock,COL,GK,9,9,55,34,16,3,6,0,2,33.3,61.8,1996,reg
Brad Friedel,CLB,GK,9,9,60,46,7,8,1,0,4,88.9,76.7,1996,reg
David Winner,CLB,GK,7,6,39,22,16,3,4,0,0,42.9,56.4,1996,reg
Mike Ammann,KC ,GK,4,3,21,12,8,1,2,0,0,25,57.1,1996,reg
Scott Budnick,TB ,GK,4,4,23,18,4,3,1,0,1,75,78.3,1996,reg
Zach Thornton,MET,GK,3,3,17,8,9,1,2,0,0,33.3,47.1,1996,reg
Jeff Cassar,DAL,GK,2,1,9,6,3,0,1,0,0,0,66.7,1996,reg
Mile Miovac,DC ,GK,0,0,0,0,0,0,0,0,0,0,0,1996,reg
Tony Meola,MET,GK,30,30,204,149,48,12,18,0,5,40,73,1996,reg
Mark Dodd,DAL,GK,30,30,249,183,48,14,16,0,3,46.7,73.5,1996,reg
Mike Ammann,KC ,GK,29,29,160,109,45,21,8,0,5,72.4,68.1,1996,reg
Brad Friedel,CLB,GK,29,29,174,131,35,14,15,0,7,48.3,75.3,1996,reg
Mark Dougherty,TB ,GK,26,24,165,111,45,15,9,0,3,57.7,67.3,1996,reg
Marcus Hahnemann,COL,GK,25,24,154,111,37,13,10,0,5,52,72.1,1996,reg
Walter Zenga,NE ,GK,22,22,113,81,28,15,7,0,6,68.2,71.7,1996,reg
David Kramer,LA ,GK,21,21,123,84,33,7,14,0,3,33.3,68.3,1996,reg
Dave Salzwedel,SJ ,GK,20,18,118,72,35,7,11,0,2,35,61,1996,reg
Jorge Campos,LA ,GK,19,19,88,62,23,12,5,0,4,63.2,70.5,1996,reg
Scott Garlick,DC ,GK,14,13,82,57,22,9,5,0,2,64.3,69.5,1996,reg
Jeff Causey,DC ,GK,12,11,86,56,27,4,8,0,1,33.3,65.1,1996,reg
Paul Grafer,COL,GK,9,8,63,40,22,1,8,0,1,11.1,63.5,1996,reg
Scott Budnick,TB ,GK,9,8,52,35,15,2,6,0,1,22.2,67.3,1996,reg
Kevin Hartman,LA ,GK,8,4,21,12,8,2,4,0,3,25,57.1,1996,reg
Tom Presthus,DC ,GK,7,7,49,31,13,4,2,0,0,57.1,63.3,1996,reg
Mark Simpson,DC ,GK,7,7,35,27,7,4,2,0,3,57.1,77.1,1996,reg
Chris Snitko,KC ,GK,5,3,20,11,6,0,3,0,0,0,55,1996,reg
David Winner,CLB,GK,4,3,19,11,6,1,2,0,0,25,57.9,1996,reg
Scott Coufal,NE ,GK,4,4,29,17,9,0,4,0,1,0,58.6,1996,reg
Zach Thornton,MET,GK,3,2,18,12,5,1,1,0,0,33.3,66.7,1996,reg
Garth Lagerwey,DAL,GK,2,2,14,13,1,2,0,0,1,100,92.9,1996,reg
Tom Liner,SJ ,GK,2,2,19,14,4,0,2,0,0,0,73.7,1996,reg
Marcus Roy,DAL,GK,0,0,0,0,0,0,0,0,0,0,0,1996,reg
Jeff Cassar,DAL,GK,0,0,0,0,0,0,0,0,0,0,0,1996,reg
Aidan Heaney,CLB,GK,0,0,0,0,0,0,0,0,0,0,0,1996,reg
Tony Meola,MET,GK,31,31,234,164,62,14,17,0,4,45.2,70.1,1996,reg
Kevin Hartman,LA ,GK,29,28,143,103,39,22,7,0,7,75.9,72,1996,reg
Marcus Hahnemann,COL,GK,28,28,200,138,52,16,12,0,4,57.1,69,1996,reg
Mike Ammann,KC ,GK,27,27,132,85,42,11,16,0,5,40.7,64.4,1996,reg
Ian Feuer,NE ,GK,26,26,179,112,55,8,15,0,5,30.8,62.6,1996,reg
Zach Thornton,CHI,GK,25,23,118,85,27,16,8,0,8,64,72,1996,reg
Scott Garlick,DC ,GK,25,25,129,88,35,19,5,0,7,76,68.2,1996,reg
