home,year,Unnamed: 0,id,attendance,shootout,home_score,away_score,home_possessionPct,away_possessionPct,home_foulsCommitted,away_foulsCommitted,home_yellowCards,away_yellowCards,home_redCards,away_redCards,home_offsides,away_offsides,home_wonCorners,away_wonCorners,home_saves,away_saves
Atlanta United FC,2017,67556,8512648,886625.0,1,48,19,11.100000000000001,6.9,214,211,25,28,3,6,43,32,110,69,44,76
Atlanta United FC,2018,82495,10129029,1114594.0,0,50,20,11.010000000000002,8.99,205,239,32,39,2,5,48,50,107,68,36,78
Atlanta United FC,2019,91151,10738150,1044339.0,0,40,16,11.87,8.129999999999999,205,262,28,46,1,3,34,47,125,61,50,83
Atlanta United FC,2020,14787,1731632,81580.0,0,5,3,1.58,1.42,40,42,4,8,0,0,5,4,6,13,8,9
Atlanta United FC,2021,25759,2987797,186297.0,0,8,5,3.06,1.94,55,91,8,16,0,0,6,9,32,14,16,16
Austin FC,2021,15635,1793497,62214.0,0,4,3,1.8499999999999996,1.15,31,26,6,6,0,0,2,6,27,13,10,12
Chicago Fire FC,2012,35549,6073374,289870.0,0,28,20,8.57,9.43,184,229,26,26,4,2,50,30,89,77,56,66
Chicago Fire FC,2013,38999,6112984,258880.0,0,29,21,8.05,8.950000000000003,191,212,27,24,1,0,37,38,105,58,32,79
Chicago Fire FC,2014,44862,6541038,273293.0,0,22,20,8.06,8.94,238,236,25,33,2,3,30,46,94,63,41,64
Chicago Fire FC,2015,50669,7008153,272043.0,0,23,19,8.64,8.360000000000001,229,223,33,34,1,4,43,49,121,72,44,71
Chicago Fire FC,2016,56800,7493261,265234.0,0,26,21,7.410000000000001,9.589999999999998,215,173,25,25,1,2,52,22,98,90,52,56
Chicago Fire FC,2017,66940,8513109,307158.0,0,41,18,9.39,8.610000000000001,223,216,22,25,1,4,44,43,87,63,37,53
Chicago Fire FC,2018,69553,8543673,251708.0,0,28,25,8.45,8.549999999999999,210,173,35,29,0,0,49,31,90,95,52,33
Chicago Fire FC,2019,76610,9063970,209516.0,0,37,18,8.629999999999999,8.370000000000001,217,190,24,23,1,2,35,22,91,64,28,60
Chicago Fire FC,2021,41300,4781228,68217.0,0,12,10,4.01,3.99,115,113,15,21,0,1,21,21,60,44,33,26
Chivas USA,2012,33196,5715950,221950.0,0,9,30,9.14,7.859999999999999,204,238,22,23,0,3,31,52,93,75,59,53
Chivas USA,2013,36770,5753337,134099.0,0,16,25,7.119999999999999,8.88,233,220,29,14,3,4,24,43,61,109,64,46
Chivas USA,2014,44841,6540983,120063.0,0,14,30,7.45,9.549999999999999,243,205,35,22,6,1,22,65,65,74,48,46
Colorado Rapids,2012,33350,5716110,257972.0,0,29,19,9.09,7.91,192,211,16,25,1,1,33,57,78,64,47,65
Colorado Rapids,2013,38909,6113040,262479.0,0,30,16,8.81,8.19,193,200,16,20,1,1,33,37,87,64,29,50
Colorado Rapids,2014,44691,6540940,256206.0,0,26,21,9.1,7.8999999999999995,180,168,18,26,3,3,51,33,108,72,35,62
Colorado Rapids,2015,47657,6595849,250920.0,0,16,22,8.85,7.15,221,209,35,34,1,2,44,14,121,51,41,56
Colorado Rapids,2016,63810,8429514,312198.0,1,21,8,10.120000000000001,8.879999999999999,254,197,37,30,0,3,43,13,93,78,44,62
Colorado Rapids,2017,63106,8015451,260476.0,0,24,20,7.800000000000001,9.200000000000001,237,173,36,17,3,3,26,15,67,93,53,41
Colorado Rapids,2018,69774,8543456,260660.0,0,24,32,8.39,8.610000000000001,247,177,47,23,2,3,36,18,110,66,58,48
Colorado Rapids,2019,76748,9064048,242833.0,0,36,29,7.279999999999999,9.720000000000002,188,184,30,32,6,0,27,27,103,93,51,54
Colorado Rapids,2020,4766,560534,13062.0,0,2,1,0.55,0.45,10,8,3,2,0,0,2,0,4,2,4,3
Colorado Rapids,2021,5218,597835,17104.0,0,1,1,0.5,0.5,14,7,2,2,0,0,1,0,7,0,0,2
