Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,GWA,HmA,RdA,A/90min,FC,FS,OFF,YC,RC,SOG%,Year,Season
Alecko Eskandarian,,F,4,4,365,4,1,15,8,0,0/0,1,3,0.99,26.7,0,1,0,0.25,9,8,3,1,0,53.33,2004,post
Jaime Moreno,,F,4,4,389,2,1,5,2,1,0/0,2,0,0.46,40,0,0,1,0.23,10,14,0,0,0,40,2004,post
Davy Arnaud,,M,4,4,360,2,1,5,2,1,0/0,2,0,0.5,40,1,1,0,0.25,11,11,4,1,0,40,2004,post
Taylor Twellman,,F,3,3,300,2,0,11,5,0,0/0,0,2,0.6,18.2,0,0,0,0,4,11,7,0,0,45.45,2004,post
Earnie Stewart,,M,4,4,321,1,2,1,1,1,0/0,0,1,0.28,100,0,2,0,0.56,4,2,4,1,0,100,2004,post
Steve Ralston,,M,3,3,300,1,2,2,2,0,1-Jan,0,1,0.3,50,1,1,1,0.6,5,4,0,0,0,100,2004,post
Jose Burciaga Jr.,,D,4,4,360,1,1,3,1,0,0/0,1,0,0.25,33.3,0,1,0,0.25,8,5,0,1,0,33.33,2004,post
Jack Jewsbury,,M,4,4,325,1,1,4,3,0,0/0,1,0,0.28,25,1,1,0,0.28,4,4,0,1,0,75,2004,post
Josh Wolff,,F,4,4,360,1,1,8,4,0,1-Jan,1,0,0.25,12.5,1,1,0,0.25,7,5,5,0,0,50,2004,post
Bryan Namoff,,D,4,4,376,1,0,1,1,0,0/0,1,0,0.24,100,0,0,0,0,10,1,1,3,0,100,2004,post
Tyrone Marshall,,D,3,3,270,1,0,1,1,0,0/0,1,0,0.33,100,0,0,0,0,4,5,0,0,0,100,2004,post
Craig Waibel,,D,2,2,180,1,0,2,1,0,0/0,1,0,0.5,50,0,0,0,0,2,1,0,0,0,50,2004,post
Avery John,,D,3,3,300,1,0,2,1,1,0/0,1,0,0.3,50,0,0,0,0,8,2,0,2,0,50,2004,post
