,Player,Club,GamesPlayed,GamesStarted,ShotsFaced,SavesMade,GoalsAgainst,Wins,Losses,Ties,ShutOuts,WinsPercentage,SavePercentage,Year
0,Mark Dodd,FC Dallas,31,31,235,160,45,17,14,0,6,54.8,68.1,1996
1,Tony Meola,Metropolitan Oval,29,29,188,142,38,14,15,0,9,48.3,75.5,1996
2,Mark Dougherty,TB ,28,28,186,123,47,17,11,0,3,60.7,66.1,1996
3,Jorge Campos,LA Galaxy,24,24,133,100,27,13,8,0,4,54.2,75.2,1996
4,Garth Lagerwey,KC ,23,22,133,83,38,12,10,0,3,52.2,62.4,1996
5,Chris Woods,Colorado Rapids,23,23,149,96,43,8,15,0,2,34.8,64.4,1996
6,Tom Liner,San Jose Earthquakes,20,20,118,75,33,7,12,0,4,35.0,63.6,1996
7,Aidan Heaney,New England Revolution,19,18,130,93,29,8,9,0,4,42.1,71.5,1996
8,Jeff Causey,D.C. United,19,18,115,70,35,9,10,0,0,47.4,60.9,1996
9,David Kramer,LA Galaxy,15,8,83,52,22,6,5,0,1,40.0,62.7,1996
10,Mark Simpson,D.C. United,15,14,69,46,21,7,6,0,3,46.7,66.7,1996
11,Jim St. Andre,New England Revolution,15,14,91,57,27,7,8,0,2,46.7,62.6,1996
12,Dave Salzwedel,San Jose Earthquakes,14,12,80,53,17,8,5,0,4,57.1,66.3,1996
13,Bo Oshoniyi,Columbus Crew,13,13,101,64,33,3,10,0,2,23.1,63.4,1996
14,Pat Harrington,Columbus Crew,12,11,57,23,21,5,5,0,1,41.7,40.4,1996
15,Dusty Hudock,Colorado Rapids,9,9,55,34,16,3,6,0,2,33.3,61.8,1996
16,Brad Friedel,Columbus Crew,9,9,60,46,7,8,1,0,4,88.9,76.7,1996
17,David Winner,Columbus Crew,7,6,39,22,16,3,4,0,0,42.9,56.4,1996
18,Mike Ammann,KC ,4,3,21,12,8,1,2,0,0,25.0,57.1,1996
19,Scott Budnick,TB ,4,4,23,18,4,3,1,0,1,75.0,78.3,1996
20,Zach Thornton,Metropolitan Oval,3,3,17,8,9,1,2,0,0,33.3,47.1,1996
21,Jeff Cassar,FC Dallas,2,1,9,6,3,0,1,0,0,0.0,66.7,1996
22,Mile Miovac,D.C. United,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
23,Mark Dodd,FC Dallas,31,31,235,160,45,17,14,0,6,54.8,68.1,1996
24,Tony Meola,Metropolitan Oval,29,29,188,142,38,14,15,0,9,48.3,75.5,1996
25,Mark Dougherty,TB ,28,28,186,123,47,17,11,0,3,60.7,66.1,1996
26,Jorge Campos,LA Galaxy,24,24,133,100,27,13,8,0,4,54.2,75.2,1996
27,Garth Lagerwey,KC ,23,22,133,83,38,12,10,0,3,52.2,62.4,1996
28,Chris Woods,Colorado Rapids,23,23,149,96,43,8,15,0,2,34.8,64.4,1996
29,Tom Liner,San Jose Earthquakes,20,20,118,75,33,7,12,0,4,35.0,63.6,1996
30,Aidan Heaney,New England Revolution,19,18,130,93,29,8,9,0,4,42.1,71.5,1996
31,Jeff Causey,D.C. United,19,18,115,70,35,9,10,0,0,47.4,60.9,1996
32,David Kramer,LA Galaxy,15,8,83,52,22,6,5,0,1,40.0,62.7,1996
33,Mark Simpson,D.C. United,15,14,69,46,21,7,6,0,3,46.7,66.7,1996
34,Jim St. Andre,New England Revolution,15,14,91,57,27,7,8,0,2,46.7,62.6,1996
35,Dave Salzwedel,San Jose Earthquakes,14,12,80,53,17,8,5,0,4,57.1,66.3,1996
36,Bo Oshoniyi,Columbus Crew,13,13,101,64,33,3,10,0,2,23.1,63.4,1996
37,Pat Harrington,Columbus Crew,12,11,57,23,21,5,5,0,1,41.7,40.4,1996
38,Dusty Hudock,Colorado Rapids,9,9,55,34,16,3,6,0,2,33.3,61.8,1996
39,Brad Friedel,Columbus Crew,9,9,60,46,7,8,1,0,4,88.9,76.7,1996
40,David Winner,Columbus Crew,7,6,39,22,16,3,4,0,0,42.9,56.4,1996
41,Mike Ammann,KC ,4,3,21,12,8,1,2,0,0,25.0,57.1,1996
42,Scott Budnick,TB ,4,4,23,18,4,3,1,0,1,75.0,78.3,1996
43,Zach Thornton,Metropolitan Oval,3,3,17,8,9,1,2,0,0,33.3,47.1,1996
44,Jeff Cassar,FC Dallas,2,1,9,6,3,0,1,0,0,0.0,66.7,1996
45,Mile Miovac,D.C. United,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
46,Tony Meola,Metropolitan Oval,30,30,204,149,48,12,18,0,5,40.0,73.0,1996
47,Mark Dodd,FC Dallas,30,30,249,183,48,14,16,0,3,46.7,73.5,1996
48,Mike Ammann,KC ,29,29,160,109,45,21,8,0,5,72.4,68.1,1996
49,Brad Friedel,Columbus Crew,29,29,174,131,35,14,15,0,7,48.3,75.3,1996
50,Mark Dougherty,TB ,26,24,165,111,45,15,9,0,3,57.7,67.3,1996
51,Marcus Hahnemann,Colorado Rapids,25,24,154,111,37,13,10,0,5,52.0,72.1,1996
52,Walter Zenga,New England Revolution,22,22,113,81,28,15,7,0,6,68.2,71.7,1996
53,David Kramer,LA Galaxy,21,21,123,84,33,7,14,0,3,33.3,68.3,1996
54,Dave Salzwedel,San Jose Earthquakes,20,18,118,72,35,7,11,0,2,35.0,61.0,1996
55,Jorge Campos,LA Galaxy,19,19,88,62,23,12,5,0,4,63.2,70.5,1996
56,Scott Garlick,D.C. United,14,13,82,57,22,9,5,0,2,64.3,69.5,1996
57,Jeff Causey,D.C. United,12,11,86,56,27,4,8,0,1,33.3,65.1,1996
58,Paul Grafer,Colorado Rapids,9,8,63,40,22,1,8,0,1,11.1,63.5,1996
59,Scott Budnick,TB ,9,8,52,35,15,2,6,0,1,22.2,67.3,1996
60,Kevin Hartman,LA Galaxy,8,4,21,12,8,2,4,0,3,25.0,57.1,1996
61,Tom Presthus,D.C. United,7,7,49,31,13,4,2,0,0,57.1,63.3,1996
62,Mark Simpson,D.C. United,7,7,35,27,7,4,2,0,3,57.1,77.1,1996
63,Chris Snitko,KC ,5,3,20,11,6,0,3,0,0,0.0,55.0,1996
64,David Winner,Columbus Crew,4,3,19,11,6,1,2,0,0,25.0,57.9,1996
65,Scott Coufal,New England Revolution,4,4,29,17,9,0,4,0,1,0.0,58.6,1996
66,Zach Thornton,Metropolitan Oval,3,2,18,12,5,1,1,0,0,33.3,66.7,1996
67,Garth Lagerwey,FC Dallas,2,2,14,13,1,2,0,0,1,100.0,92.9,1996
68,Tom Liner,San Jose Earthquakes,2,2,19,14,4,0,2,0,0,0.0,73.7,1996
69,Marcus Roy,FC Dallas,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
70,Jeff Cassar,FC Dallas,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
71,Aidan Heaney,Columbus Crew,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
